,input_size,output_size,cycles,exe_time
0,26799,3,9997352028,4.165563345
1,26799,3,16754722.6,0.006981134
2,26799,3,11968231.2,0.004986763
3,26799,3,11969947.81,0.004987478
4,26799,3,11969947.81,0.004987478
5,26799,3,11969375.61,0.00498724
6,26799,3,11965942.38,0.004985809
7,26799,3,9679412.842,0.004033089
8,26799,3,11861801.15,0.004942417
9,26799,3,11966514.59,0.004986048
10,26799,3,12094116.21,0.005039215
11,26799,3,11845207.21,0.004935503
12,26799,3,9572982.788,0.003988743
13,26799,3,11970520.02,0.004987717
14,26799,3,11964797.97,0.004985332
15,26799,3,11969947.81,0.004987478
16,26799,3,11967086.79,0.004986286
17,26799,3,11966514.59,0.004986048
18,26799,3,14492797.85,0.006038666
19,26799,3,11840629.58,0.004933596
20,26799,3,11964797.97,0.004985332
21,26799,3,11969947.81,0.004987478
22,26799,3,9573554.993,0.003988981
23,26799,3,11968803.41,0.004987001
24,26799,3,11965370.18,0.004985571
25,26799,3,11969947.81,0.004987478
26,26799,3,9572410.583,0.003988504
27,26799,3,14362335.21,0.005984306
28,26799,3,11968231.2,0.004986763
29,26799,3,11969947.81,0.004987478
30,26799,3,11965370.18,0.004985571
31,26799,3,11968231.2,0.004986763
32,26799,3,11969375.61,0.00498724
33,26799,3,14361763,0.005984068
34,26799,3,9572410.583,0.003988504
35,26799,3,14361763,0.005984068
36,26799,3,16755294.8,0.006981373
37,26799,3,9600448.608,0.004000187
38,26799,3,11943626.4,0.004976511
39,26799,3,14357185.36,0.005982161
40,26799,3,11968803.41,0.004987001
41,26799,3,11972808.84,0.00498867
42,26799,3,11964797.97,0.004985332
43,26799,3,11967659,0.004986525
44,26799,3,11970520.02,0.004987717
45,26799,3,9574699.402,0.003989458
46,26799,3,11965370.18,0.004985571
47,26799,3,11969947.81,0.004987478
48,26799,3,14361190.8,0.005983829
49,26799,3,14360046.39,0.005983353
50,26799,3,11968231.2,0.004986763
51,26799,3,11970520.02,0.004987717
52,26799,3,11967086.79,0.004986286
53,26799,3,11967659,0.004986525
54,26799,3,9574699.402,0.003989458
55,26799,3,11971664.43,0.004988194
56,26799,3,11969375.61,0.00498724
57,26799,3,11960792.54,0.004983664
58,26799,3,9576988.22,0.003990412
59,26799,3,14358901.98,0.005982876
60,26799,3,11969375.61,0.00498724
61,26799,3,11966514.59,0.004986048
62,26799,3,14361763,0.005984068
63,26799,3,9574127.197,0.00398922
64,26799,3,11971092.22,0.004987955
65,26799,3,11965370.18,0.004985571
66,26799,3,11967659,0.004986525
67,26799,3,11969375.61,0.00498724
68,26799,3,9572982.788,0.003988743
69,26799,3,11967086.79,0.004986286
70,26799,3,11969375.61,0.00498724
71,26799,3,11967659,0.004986525
72,26799,3,11967659,0.004986525
73,26799,3,11968231.2,0.004986763
74,26799,3,11968803.41,0.004987001
75,26799,3,11967086.79,0.004986286
76,26799,3,14364624.02,0.00598526
77,26799,3,9575843.811,0.003989935
78,26799,3,14360618.59,0.005983591
79,26799,3,11965370.18,0.004985571
80,26799,3,11969375.61,0.00498724
81,26799,3,11966514.59,0.004986048
82,26799,3,9573554.993,0.003988981
83,26799,3,11968231.2,0.004986763
84,26799,3,11972236.63,0.004988432
85,26799,3,9572410.583,0.003988504
86,26799,3,14358901.98,0.005982876
87,26799,3,11969947.81,0.004987478
88,26799,3,11967086.79,0.004986286
89,26799,3,11971664.43,0.004988194
90,26799,3,11965370.18,0.004985571
91,26799,3,11967659,0.004986525
92,26799,3,9574699.402,0.003989458
93,26799,3,11967659,0.004986525
94,26799,3,11965942.38,0.004985809
95,26799,3,11969375.61,0.00498724
96,26799,3,9673690.796,0.004030704
97,26799,3,14262771.61,0.005942822
98,26799,3,9572982.788,0.003988743
99,26799,3,11972236.63,0.004988432
